DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
DA-2025-0184,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0184,Dual occupancy development,2025-09-05,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0185,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0185,Demolition of existing structures,2025-09-06,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0186,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0186,Change of use to restaurant,2025-09-07,Under Assessment,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0187,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0187,Industrial shed construction,2025-09-08,Pending,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0188,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0188,Retail shop fitout,2025-09-09,Referred,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0189,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0189,Multi-unit housing development,2025-09-10,Under Assessment,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0190,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0190,Residential dwelling - New construction,2025-09-11,Pending,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0191,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0191,Swimming pool and deck installation,2025-09-12,Referred,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0192,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0192,Garage and carport development,2025-09-13,Under Assessment,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0193,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0193,Commercial building alterations,2025-09-14,Pending,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0194,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0194,Dual occupancy development,2025-09-15,Referred,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0195,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0195,Demolition of existing structures,2025-09-16,Under Assessment,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0196,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0196,Change of use to restaurant,2025-09-17,Pending,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0197,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0197,Industrial shed construction,2025-09-18,Referred,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0198,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0198,Retail shop fitout,2025-09-19,Under Assessment,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0199,Multi-unit housing development,2025-09-20,Pending,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0200,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0200,Residential dwelling - New construction,2025-09-01,Referred,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0201,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0201,Swimming pool and deck installation,2025-09-02,Under Assessment,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0202,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0202,Garage and carport development,2025-09-03,Pending,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0203,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0203,Commercial building alterations,2025-09-04,Referred,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0204,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0204,Dual occupancy development,2025-09-05,Under Assessment,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0205,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0205,Demolition of existing structures,2025-09-06,Pending,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0206,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0206,Change of use to restaurant,2025-09-07,Referred,Residential,"34 Forest Drive, BOMADERRY NSW 2541",Urban Design Partners,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0207,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0207,Industrial shed construction,2025-09-08,Under Assessment,Commercial,"67 Valley Road, MILTON NSW 2538",Regional Development Corp,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0208,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0208,Retail shop fitout,2025-09-09,Pending,Residential,"91 Hill Street, SANCTUARY POINT NSW 2540",Sustainable Living Pty Ltd,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0209,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0209,Multi-unit housing development,2025-09-10,Referred,Commercial,"15 Creek Lane, WORRIGEE NSW 2540",Heritage Restoration Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0210,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0210,Residential dwelling - New construction,2025-09-11,Under Assessment,Residential,"12 Ocean View Road, ULLADULLA NSW 2539",John Smith & Associates,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0211,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0211,Swimming pool and deck installation,2025-09-12,Pending,Commercial,"45 Bushland Avenue, NOWRA NSW 2541",Sarah Johnson Building Co,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0212,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0212,Garage and carport development,2025-09-13,Referred,Residential,"78 River Street, SUSSEX INLET NSW 2540",Green Earth Developments,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0213,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0213,Commercial building alterations,2025-09-14,Under Assessment,Commercial,"23 Beach Road, CULBURRA BEACH NSW 2540",Coastal Property Group,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0214,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0214,Dual occupancy development,2025-09-15,Pending,Residential,"56 Mountain Way, BERRY NSW 2535",Mountain View Constructions,Assessment in Progress,Not required,Available on Council portal,Not required
DA-2025-0215,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?number=DA-2025-0215,Demolition of existing structures,2025-09-16,Referred,Commercial,"89 Bay Parade, HUSKISSON NSW 2540",Bay Area Builders,Assessment in Progress,Not required,Available on Council portal,Not required
